"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"789","Dylan Gambrell","S.J","C","18","7.9","0","1","0","1","1","50.00","0","-","0.07","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
"791","Matt Luff","L.A","R","33","16.916666666667","1","0","0","0","1","50.00","4","25.00","0.59","7","6","6","1","0","0","5","1","0","1","0","0","0","0","0","1","0","0","0","-"
"802","Kailer Yamamoto","EDM","R","17","14.983333333333","0","1","1","0","1","100.00","1","0.00","0.12","1","1","1","1","0","0","2","1","1","0","0","1","0","0","0","2","0","0","0","-"
"803","Nicolas Hague","VGK","D","7","8.7166666666667","0","1","0","1","1","50.00","0","-","0.04","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"814","Eeli Tolvanen","NSH","R","4","5.5666666666667","0","1","0","1","1","100.00","0","-","0.07","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"816","Nick Suzuki","MTL","C","10","28.833333333333","0","1","1","0","1","16.67","3","0.00","0.18","6","3","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","3","4","42.86"
"819","Max Comtois","ANA","L","16","28.333333333333","1","0","0","0","1","50.00","2","50.00","0.42","6","3","5","2","0","0","11","4","3","1","0","0","0","0","1","2","0","0","1","0.00"
"820","Henri Jokiharju","BUF, CHI","D","50","38.766666666667","0","1","0","1","1","25.00","4","0.00","0.43","6","6","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"822","Martin Necas","CAR","C","17","34.366666666667","1","0","0","0","1","100.00","5","20.00","0.68","7","6","5","3","0","0","0","0","0","0","0","0","3","1","0","2","0","1","6","14.29"
"826","Alexandre Texier","CBJ","C","12","11.766666666667","0","1","0","1","1","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.00"
"838","Emil Bemstrom","CBJ","C","10","10.133333333333","0","1","1","0","1","50.00","2","0.00","0.29","4","4","2","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","-"
"840","Max Veronneau","OTT","R","12","14.3","1","0","0","0","1","33.33","4","25.00","0.31","4","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"842","Sean Walker","L.A","D","49","8.1","1","0","0","0","1","100.00","1","100.00","0.11","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"845","Joel L'Esperance","DAL","C, R","21","26.6","1","0","0","0","1","50.00","2","50.00","0.55","6","5","5","2","0","1","2","1","1","0","0","0","2","0","1","0","0","2","2","50.00"
"854","Evan Bouchard","EDM","D","7","10.183333333333","1","0","0","0","1","100.00","2","50.00","0.08","5","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"879","Kaapo Kakko","NYR","R","8","14.05","0","1","0","1","1","100.00","3","0.00","0.37","6","5","4","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","-"
"881","Ville Heinola","WPG","D","8","7.1666666666667","0","1","0","1","1","100.00","1","0.00","0.04","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"1","Matt Cullen","PIT","C","71","4.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","60.00"
"5","Ron Hainsey","OTT, TOR","D","91","6.1","0","0","0","0","0","0.00","1","0.00","0.02","1","1","0","0","0","0","5","1","0","1","0","1","0","0","0","0","0","0","0","-"
