Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-02-18,6:00 PM,7:00 PM,New York Rangers,3,Philadelphia Flyers,2,SO
2021-02-18,6:00 PM,7:00 PM,New York Islanders,1,Pittsburgh Penguins,4,Regulation
2021-02-18,6:00 PM,7:00 PM,Nashville Predators,0,Columbus Blue Jackets,3,Regulation
2021-02-18,6:00 PM,7:00 PM,Ottawa Senators,3,Toronto Maple Leafs,7,Regulation
2021-02-18,6:00 PM,7:00 PM,Buffalo Sabres,1,Washington Capitals,3,Regulation
2021-02-18,7:00 PM,8:00 PM,San Jose Sharks,2,St. Louis Blues,3,OT
2021-02-18,8:00 PM,9:00 PM,Los Angeles Kings,3,Arizona Coyotes,2,SO
2021-02-18,9:00 PM,10:00 PM,Minnesota Wild,3,Anaheim Ducks,1,Regulation
2021-02-19,6:00 PM,7:00 PM,Chicago Blackhawks,3,Carolina Hurricanes,5,Regulation
2021-02-19,6:00 PM,7:00 PM,Florida Panthers,7,Detroit Red Wings,2,Regulation
2021-02-19,8:00 PM,9:00 PM,Edmonton Oilers,2,Calgary Flames,1,Regulation
2021-02-19,9:00 PM,10:00 PM,Winnipeg Jets,2,Vancouver Canucks,0,Regulation
2021-02-20,11:30 AM,12:30 PM,Buffalo Sabres,3,New Jersey Devils,2,Regulation
2021-02-20,11:30 AM,12:30 PM,New York Rangers,4,Washington Capitals,1,Regulation
2021-02-20,2:00 PM,3:00 PM,Vegas Golden Knights,2,Colorado Avalanche,3,Regulation
2021-02-20,4:00 PM,5:00 PM,Florida Panthers,1,Detroit Red Wings,2,Regulation
2021-02-20,6:00 PM,7:00 PM,New York Islanders,2,Pittsburgh Penguins,3,Regulation
2021-02-20,6:00 PM,7:00 PM,Nashville Predators,4,Columbus Blue Jackets,2,Regulation
2021-02-20,6:00 PM,7:00 PM,San Jose Sharks,5,St. Louis Blues,4,Regulation
2021-02-20,6:00 PM,7:00 PM,Toronto Maple Leafs,5,Montreal Canadiens,3,Regulation
2021-02-20,6:00 PM,7:00 PM,Los Angeles Kings,4,Arizona Coyotes,2,Regulation
2021-02-20,6:00 PM,7:00 PM,Tampa Bay Lightning,0,Carolina Hurricanes,4,Regulation
2021-02-20,8:00 PM,9:00 PM,Minnesota Wild,5,Anaheim Ducks,1,Regulation
2021-02-20,9:00 PM,10:00 PM,Calgary Flames,1,Edmonton Oilers,7,Regulation
2021-02-21,1:00 PM,2:00 PM,New Jersey Devils,3,Washington Capitals,4,Regulation
2021-02-21,6:00 PM,7:00 PM,Montreal Canadiens,2,Ottawa Senators,3,OT
2021-02-21,6:30 PM,7:30 PM,Philadelphia Flyers,3,Boston Bruins,7,Regulation
