id,player_name,team,position,gp,toi,goals,assist,first_assist,second_assist,total_points,ipp,sf,sh_pcg,ixg,icf,iff,iscf,ihdcf,rush_attempts,rebounds_created,pim,total_penalties,minor,major,misconduct,penalties_drawn,giveaways,takeaways,hits,hits_taken,shots_blocked,faceoffs_won,faceoffs_lost,faceoffs_won_pcg
302,Esa Lindell,DAL,D,76,34.333333333333,0,3,2,1,3,75.00,7,0.00,0.61,9,8,6,3,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,-
303,Chandler Stephenson,VGK,C,79,168.66666666667,6,7,2,5,13,68.42,25,24.00,4.06,40,31,26,11,0,5,0,0,0,0,0,0,7,2,1,11,0,71,49,59.17
304,Shayne Gostisbehere,ARI,D,82,219.91666666667,1,14,7,7,15,83.33,29,3.45,1.99,73,46,13,0,0,6,2,1,1,0,0,1,7,4,2,3,5,0,0,-
305,Mackenzie MacEachern,STL,L,14,0.083333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
306,Devin Shore,EDM,C,49,0.9,0,0,0,0,0,-,1,0.00,0.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
307,Jujhar Khaira,CHI,L,27,1.0333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
308,Adam Pelech,NYI,D,78,15.2,0,0,0,0,0,-,0,-,0.04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
309,Jimmy Vesey,N.J,L,68,17.45,0,0,0,0,0,0.00,0,-,0.07,2,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0.00
310,Chris Tierney,OTT,C,70,93.8,3,2,0,2,5,62.50,11,27.27,1.42,18,15,13,8,0,2,2,1,1,0,0,0,7,2,0,3,0,26,28,48.15
311,Jordan Martinook,CAR,L,59,2.2666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
312,Damon Severson,N.J,D,80,179.51666666667,5,11,4,7,16,80.00,32,15.63,2.19,62,41,21,0,2,6,6,3,3,0,0,0,8,1,2,4,1,0,0,-
